2026 Youth Calendar,,,,,
JAN,,,,,
Oganization,Subject,Start date,Start time,Description,Location
Holiday,New Year’s Day,2026-01-01,,,
Holiday,Christmas Break (Alpine School District),2026-01-02,,,
School,School Resumes (Alpine School District),2026-01-06,,,
"Church, Youth",“Walk with Me”—Worldwide Discussion for Youth,2026-01-18,6:00 PM,Location: Finken's home,
"Holiday, School",MLK Jr. Day (No School),2026-01-19,,,
"Ward, Youth",All Youth Combined - Physical/Bowling,2026-01-22,7:00 PM,"Theme: Walk with Me on the Covenant Path
Leaders: Priests / YW Older
Physical/Bowling",
"Stake, Youth",New Year Kickoff Youth Fireside,2026-01-25,7:00 PM,,Stake Center
"Ward, YW",YW Combined: Night of Belonging,2026-01-29,7:00 PM,This is Me,Church Building
,,,,,
FEB,,,,,
Oganization,Subject,Start date,Start time,Description,Location
"Ward, Youth",Classes and Quorums,2026-02-05,7:00 PM,"Theme: Walk with Me with Love
Regular class and quorum activities.",
School,No school (Alpine School District),2026-02-06,,,
Stake,Stake Family Temple Week,2026-02-10,,,
Stake,Stake Conference,2026-02-14,,,
"Holiday, School",Presidents Day (No School),2026-02-16,,,
"Ward, YW",Young Womens Day Camp retreat weekend,2026-02-20,3:00 PM,Young Women Retreat from home,Stake Center / Provo Temple
"Stake, Youth",Stake Developmental Center Assignment,2026-02-22,,Youth 14+,
"Stake, Youth",Trek Kick-off Fireside,2026-02-22,7:00 PM,,Stake Center
"Stake, Youth",Stake Developmental Center Assignment - Dance,2026-02-25,TBD,Youth 14+,
,,,,,
MAR,,,,,
Oganization,Subject,Start date,Start time,Description,Location
"Stake, Youth",Youth Volleyball Tournament,2026-03-03,,,
School,No School (Alpine School District),2026-03-09,,,
School,No School (Alpine School District),2026-03-23,,,
"Ward, Youth",All Youth Combined: Social/Protein Etiquette Dinner,2026-03-26,7:00 PM,"Theme: Walk with Me with Faith
Leaders: Deacons / YW Youngers
Social/Protein Etiquette Dinner",
,,,,,
APR,,,,,
Oganization,Subject,Start date,Start time,Description,Location
Church,General Conference,2026-04-04,,,
Church,Easter Sunday,2026-04-05,,,
School,Spring Break (Alpine School District),2026-04-06,,,
"Stake, Youth",Trek Activity (Individual Trek Families),2026-04-16,,Youth 14+,
"Ward, Youth",All Youth Combined: Intellectual/Cultural Night,2026-04-23,7:00 PM,"Theme: Walk with Me with Knowledge
Leaders: Priests / YW Older
Intellectual/Cultural Night",
,,,,,
MAY,,,,,
Oganization,Subject,Start date,Start time,Description,Location
"Stake, Youth",Trek Practice Hike,2026-05-16,,,
"Stake, Youth",Seminary Graduation,2026-05-17,4:00 PM,With General RS 2nd Counselor Kristin Yee,
School,Last Day of School (Alpine School District),2026-05-22,,,
Holiday,Memorial Day,2026-05-25,,,
"Ward, Youth",All Youth Combined: Physical/Fishing,2026-05-28,7:00 PM,"Theme: Walk with Me with Patience
Leaders: Teachers / YW Middles
Physical/Fishing",
,,,,,
JUN,,,,,
Oganization,Subject,Start date,Start time,Description,Location
"Stake, Youth",Trek Gear Drop-Off/Devotional,2026-06-07,,,
"Stake, Youth",Stake Trek - Heber,2026-06-08,,,Heber
"Stake, Youth",Trek Follow-up Fireside,2026-06-14,,,
"Stake, YW",Stake Girls Camp Heber,2026-06-18,,,Heber
,Fathers Day,2026-06-21,,,
Stake,Lehi Round Up Week,2026-06-21,,,
,,,,,
JUL,,,,,
Oganization,Subject,Start date,Start time,Description,Location
Holiday,Independence Day,2026-07-04,,,
Holiday,Pioneer Day,2026-07-24,,,
"Ward, YM",All YM Combined - Small Overnighter Backpacking camp,2026-07-17,,More details to come,
